Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
122994       4    No     000008B2-000008BA        9
1229C2       1    No     000008BB-000008C0        6
1229C4       1    No     000008C1-000008C6        6
1229C7       1    No     000008C7-000008CC        6
1229D2       1    No     000008CD-000008D2        6
1229D5       3    No     000008D3-000008DA        8
122A44       5    No     000008DB-000008E4        A
122A4A       2    No     000008E5-000008EB        7
122A54       8    No     000008EC-000008F8        D
122A62       1    No     000008F9-000008FE        6
122A65       1    No     000008FF-00000904        6
122A67       1    No     00000905-0000090A        6
122A73       1    No     0000090B-00000910        6
122A75       2    No     00000911-00000917        7
122A86       9    No     00000918-00000925        E
122A96       8    No     00000926-00000932        D
122AAA       1    No     00000933-00000938        6
122AAC       1    No     00000939-0000093E        6
122AAE       1    No     0000093F-00000944        6
122ABA       4    No     00000945-0000094D        9
122B04       1    No     0000094E-00000953        6
122B06       3    No     00000954-0000095B        8
122B15       3    No     0000095C-00000963        8
122B19       1    No     00000964-00000969        6
122B22       1    No     0000096A-0000096F        6
122B25       1    No     00000970-00000975        6
122B27       1    No     00000976-0000097B        6
122B33       1    No     0000097C-00000981        6
122B35       2    No     00000982-00000988        7
122C0A       1    No     00000989-0000098E        6
122C84       5    No     0000098F-00000998        A
122C8A       2    No     00000999-0000099F        7
122C94       8    No     000009A0-000009AC        D
122CC2       1    No     000009AD-000009B2        6
122CC4       3    No     000009B3-000009BA        8
122CD3       5    No     000009BB-000009C4        A
122E02       1    No     000009C5-000009CA        6
122E04       1    No     000009CB-000009D0        6
122E06       1    No     000009D1-000009D6        6
122E08       1    No     000009D7-000009DC        6
122E0A       2    No     000009DD-000009E3        7
122E12       1    No     000009E4-000009E9        6
122E15       7    No     000009EA-000009F5        C
122E22       1    No     000009F6-000009FB        6
122E25       1    No     000009FC-00000A01        6
122E27       1    No     00000A02-00000A07        6
122E33       1    No     00000A08-00000A0D        6
122E35       1    No     00000A0E-00000A13        6
122E37       1    No     00000A14-00000A19        6
122EC1       1    No     00000A1A-00000A1F        6
122EC3       1    No     00000A20-00000A25        6
122EC6       1    No     00000A26-00000A2B        6
